obs,year,month,day,date,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,s.s.temp.,buoy_label
5796,1983,10,30,1983-10-30,-0.04,-124.54,-1.9,0.9,,21.56,,0
5797,1983,10,31,1983-10-31,-0.04,-124.54,-1.5,1.0,,21.56,,0
5798,1983,11,1,1983-11-01,-0.04,-124.54,-1.9,-0.1,,21.64,,0
5799,1983,11,2,1983-11-02,-0.04,-124.54,-0.9,-0.4,,22.01,,0
5800,1983,11,3,1983-11-03,-0.04,-124.54,-1.6,0.8,,22.21,,0
5801,1983,11,4,1983-11-04,-0.04,-124.54,-2.0,0.6,,22.4,,0
5802,1983,11,5,1983-11-05,-0.04,-124.54,-3.5,0.4,,22.22,,0
5803,1983,11,6,1983-11-06,-0.04,-124.54,-3.7,1.0,,21.93,,0
5804,1983,11,7,1983-11-07,-0.04,-124.54,-4.2,1.2,,22.02,,0
5805,1983,11,8,1983-11-08,-0.04,-124.54,-4.7,0.6,,22.1,,0
5806,1983,11,9,1983-11-09,-0.04,-124.54,-4.8,0.4,,22.15,,0
5807,1983,11,10,1983-11-10,-0.04,-124.54,-5.9,0.8,,21.64,,0
5808,1983,11,11,1983-11-11,-0.04,-124.54,-4.8,1.2,,21.44,,0
5809,1983,11,12,1983-11-12,-0.04,-124.54,-4.4,0.0,,21.45,,0
5810,1983,11,13,1983-11-13,-0.04,-124.54,-5.1,0.4,,21.44,,0
5811,1983,11,14,1983-11-14,-0.04,-124.54,-4.7,-0.2,,21.55,,0
5812,1983,11,15,1983-11-15,-0.04,-124.54,-5.1,0.4,,21.41,,0
5813,1983,11,16,1983-11-16,-0.04,-124.54,-5.3,0.1,,21.56,,0
5814,1983,11,17,1983-11-17,-0.04,-124.54,-5.0,-0.9,,21.29,,0
5815,1983,11,18,1983-11-18,-0.04,-124.54,-4.2,0.7,,20.53,,0
5816,1983,11,19,1983-11-19,-0.04,-124.54,-2.6,0.6,,20.52,,0
5817,1983,11,20,1983-11-20,-0.04,-124.54,-2.0,-0.6,,20.48,,0
5818,1983,11,21,1983-11-21,-0.04,-124.54,-1.7,-0.5,,20.22,,0
5819,1983,11,22,1983-11-22,-0.04,-124.54,-1.6,-0.5,,20.1,,0
5820,1983,11,23,1983-11-23,-0.04,-124.54,-2.7,-0.2,,19.61,,0
5821,1983,11,24,1983-11-24,-0.04,-124.54,-0.8,0.8,,20.0,,0
5822,1983,11,25,1983-11-25,-0.04,-124.54,-0.6,0.4,,20.3,,0
5823,1983,11,26,1983-11-26,-0.04,-124.54,-0.2,-0.3,,20.67,,0
5824,1983,11,27,1983-11-27,-0.04,-124.54,-1.3,0.1,,21.34,,0
5825,1983,11,28,1983-11-28,-0.04,-124.54,-1.7,1.2,,21.82,,0
5826,1983,11,29,1983-11-29,-0.04,-124.54,-1.7,1.5,,22.27,,0
5827,1983,11,30,1983-11-30,-0.04,-124.54,-2.5,0.8,,22.34,,0
5828,1983,12,1,1983-12-01,-0.04,-124.54,-3.7,-0.1,,22.06,,0
5829,1983,12,2,1983-12-02,-0.04,-124.54,-2.7,0.6,,21.73,,0
5830,1983,12,3,1983-12-03,-0.04,-124.54,-1.6,1.5,,21.62,,0
5831,1983,12,4,1983-12-04,-0.04,-124.54,-1.2,0.3,,22.24,,0
5832,1983,12,5,1983-12-05,-0.04,-124.54,-2.5,0.7,,22.16,,0
5833,1983,12,6,1983-12-06,-0.04,-124.54,-2.6,0.2,,21.97,,0
5834,1983,12,7,1983-12-07,-0.04,-124.54,-3.0,-0.4,,22.05,,0
5835,1983,12,8,1983-12-08,-0.04,-124.54,-3.9,0.6,,21.64,,0
5836,1983,12,9,1983-12-09,-0.04,-124.54,-3.2,1.2,,21.71,,0
5837,1983,12,10,1983-12-10,-0.04,-124.54,-3.0,1.4,,22.3,,0
5838,1983,12,11,1983-12-11,-0.04,-124.54,-4.6,1.1,,23.24,,0
5839,1983,12,12,1983-12-12,-0.04,-124.54,-5.3,1.4,,23.36,,0
5840,1983,12,13,1983-12-13,-0.04,-124.54,-5.1,0.9,,23.19,,0
5841,1983,12,14,1983-12-14,-0.04,-124.54,-4.3,-0.3,,23.09,,0
5842,1983,12,15,1983-12-15,-0.04,-124.54,-3.8,-0.1,,23.27,,0
5843,1983,12,16,1983-12-16,-0.04,-124.54,-4.9,0.5,,22.95,,0
5844,1983,12,17,1983-12-17,-0.04,-124.54,-5.5,0.8,,23.2,,0
5845,1983,12,18,1983-12-18,-0.04,-124.54,-6.1,0.2,,23.37,,0
5846,1983,12,19,1983-12-19,-0.04,-124.54,-4.6,0.2,,23.06,,0
5847,1983,12,20,1983-12-20,-0.04,-124.54,-5.3,-0.7,,22.98,,0
